query_name,generic_class,query_family,query_type,selected_root,document_depth,g_class,g_class_name,g_class_description,is_active,activation_status,activation_score,activation_reason,activation_evidence,DeltaRratio,query_update_volatility_score,max_observed_sharedness_score
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,0.0,G0,Root-only document,Use a simple root document when the query does not require relationship traversal.,True,active,1.0,The query does not require conceptual relationship traversal.,"{'Rc': 0.0, 'DeltaRratio': 0.0}",0.0,0.0,0.0
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,0.0,G1,Root with direct descriptors,Embed or colocate descriptor attributes/entities directly attached to the selected root.,False,inactive,0.0,Descriptor-oriented embedding is not a main driver.,"{'touches_descriptor': False, 'document_depth': 0.0, 'DeltaRratio': 0.0}",0.0,0.0,0.0
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,0.0,G2,Root with contained children,Embed containment children when the query benefits from nested document retrieval.,False,inactive,0.0,Containment embedding is not a main driver.,"{'touches_containment': False, 'document_depth': 0.0, 'DeltaRratio': 0.0}",0.0,0.0,0.0
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,0.0,G3,Root with associated references,Represent associative relationships around the root using embedded summaries or references.,False,inactive,0.0,Associative references are not central for this query.,"{'touches_association': False, 'n_entities_touched': 1.0, 'remaining_external_edges': False}",0.0,0.0,0.0
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,0.0,G4,Deep nested traversal document,Use multi-level nesting or path-oriented documents for deep traversal workloads.,False,inactive,0.0,The query does not require a deep document structure.,"{'query_family': 'Local lookup', 'max_depth_for_query': 0.0, 'document_depth': 0.0, 'DeltaRratio': 0.0}",0.0,0.0,0.0
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,0.0,G5,Shared target reference strategy,Prefer references or controlled duplication when target entities are highly shared.,False,inactive,0.0,Observed sharedness is not a main design pressure.,"{'max_observed_sharedness_score': 0.0, 'touches_association': False, 'shared_target_entities': []}",0.0,0.0,0.0
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,0.0,G6,Aggregation-oriented document,Use precomputed or read-optimized structures for aggregation and ranking queries.,False,inactive,0.0,Aggregation-oriented configuration is not central.,"{'query_family': 'Local lookup', 'generic_class': 'QG1', 'DeltaRratio': 0.0}",0.0,0.0,0.0
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,0.0,G7,Update-aware document strategy,Avoid excessive embedding when write/update volatility is relevant.,False,inactive,0.0,Update volatility is not relevant for this query.,"{'is_write_query': False, 'query_update_volatility_score': 0.0, 'query_update_volatility_level': 'none'}",0.0,0.0,0.0
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,0.0,G8,Hybrid embedded-reference strategy,Use embedding for covered relationships and references for remaining external relationships.,False,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,"{'Re': 0.0, 'DeltaR': 0.0, 'DeltaRratio': 0.0, 'n_remaining_edges': 0.0}",0.0,0.0,0.0
Q1_CompanyProfileIBM,QG1,Local lookup,select,Corporation,0.0,G9,Benchmark-required trade-off candidate,"Generate alternative configurations when read gain, update pressure, sharedness, or mapping risk create a design trade-off.",False,inactive,0.0,No strong benchmark-required trade-off was detected.,"{'DeltaRratio': 0.0, 'query_update_volatility_score': 0.0, 'max_observed_sharedness_score': 0.0, 'activation_has_mapping_warning': False}",0.0,0.0,0.0
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1.0,G0,Root-only document,Use a simple root document when the query does not require relationship traversal.,False,inactive,0.0,The query requires at least one conceptual relationship.,"{'Rc': 3.0, 'DeltaRratio': 1.0}",1.0,0.36299999999999993,0.2974182444061962
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1.0,G1,Root with direct descriptors,Embed or colocate descriptor attributes/entities directly attached to the selected root.,True,active,1.0,The query touches descriptor relationships that can be colocated near the selected root.,"{'touches_descriptor': True, 'document_depth': 1.0, 'DeltaRratio': 1.0}",1.0,0.36299999999999993,0.2974182444061962
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1.0,G2,Root with contained children,Embed containment children when the query benefits from nested document retrieval.,False,inactive,0.0,Containment embedding is not a main driver.,"{'touches_containment': False, 'document_depth': 1.0, 'DeltaRratio': 1.0}",1.0,0.36299999999999993,0.2974182444061962
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1.0,G3,Root with associated references,Represent associative relationships around the root using embedded summaries or references.,True,active,0.8,The query touches associative relationships that may require embedded summaries or references.,"{'touches_association': True, 'n_entities_touched': 4.0, 'remaining_external_edges': False}",1.0,0.36299999999999993,0.2974182444061962
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1.0,G4,Deep nested traversal document,Use multi-level nesting or path-oriented documents for deep traversal workloads.,False,inactive,0.0,The query does not require a deep document structure.,"{'query_family': 'Shallow rooted retrieval', 'max_depth_for_query': 1.0, 'document_depth': 1.0, 'DeltaRratio': 1.0}",1.0,0.36299999999999993,0.2974182444061962
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1.0,G5,Shared target reference strategy,Prefer references or controlled duplication when target entities are highly shared.,True,active,0.4974182444061962,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,"{'max_observed_sharedness_score': 0.2974182444061962, 'touches_association': True, 'shared_target_entities': ['Country', 'Industry', 'ListedSecurity']}",1.0,0.36299999999999993,0.2974182444061962
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1.0,G6,Aggregation-oriented document,Use precomputed or read-optimized structures for aggregation and ranking queries.,False,inactive,0.0,Aggregation-oriented configuration is not central.,"{'query_family': 'Shallow rooted retrieval', 'generic_class': 'QG2', 'DeltaRratio': 1.0}",1.0,0.36299999999999993,0.2974182444061962
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1.0,G7,Update-aware document strategy,Avoid excessive embedding when write/update volatility is relevant.,True,active,0.563,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,"{'is_write_query': False, 'query_update_volatility_score': 0.36299999999999993, 'query_update_volatility_level': 'medium'}",1.0,0.36299999999999993,0.2974182444061962
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1.0,G8,Hybrid embedded-reference strategy,Use embedding for covered relationships and references for remaining external relationships.,False,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,"{'Re': 0.0, 'DeltaR': 3.0, 'DeltaRratio': 1.0, 'n_remaining_edges': 0.0}",1.0,0.36299999999999993,0.2974182444061962
Q2_CompanyWithIndustryCountryAndListedSecurities,QG2,Shallow rooted retrieval,select,Corporation,1.0,G9,Benchmark-required trade-off candidate,"Generate alternative configurations when read gain, update pressure, sharedness, or mapping risk create a design trade-off.",True,active,0.8320836488812392,The query has a design trade-off that should be validated through benchmark alternatives.,"{'DeltaRratio': 1.0, 'query_update_volatility_score': 0.36299999999999993, 'max_observed_sharedness_score': 0.2974182444061962, 'activation_has_mapping_warning': True}",1.0,0.36299999999999993,0.2974182444061962
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,3.0,G0,Root-only document,Use a simple root document when the query does not require relationship traversal.,False,inactive,0.0,The query requires at least one conceptual relationship.,"{'Rc': 3.0, 'DeltaRratio': 1.0}",1.0,0.799,0.2958825
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,3.0,G1,Root with direct descriptors,Embed or colocate descriptor attributes/entities directly attached to the selected root.,False,inactive,0.0,Descriptor-oriented embedding is not a main driver.,"{'touches_descriptor': False, 'document_depth': 3.0, 'DeltaRratio': 1.0}",1.0,0.799,0.2958825
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,3.0,G2,Root with contained children,Embed containment children when the query benefits from nested document retrieval.,True,active,1.0,The query touches containment relationships suitable for nested document structures.,"{'touches_containment': True, 'document_depth': 3.0, 'DeltaRratio': 1.0}",1.0,0.799,0.2958825
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,3.0,G3,Root with associated references,Represent associative relationships around the root using embedded summaries or references.,True,active,0.8,The query touches associative relationships that may require embedded summaries or references.,"{'touches_association': True, 'n_entities_touched': 4.0, 'remaining_external_edges': False}",1.0,0.799,0.2958825
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,3.0,G4,Deep nested traversal document,Use multi-level nesting or path-oriented documents for deep traversal workloads.,True,active,1.0,The query has a deep traversal profile and benefits from a multi-level document structure.,"{'query_family': 'Associative retrieval', 'max_depth_for_query': 3.0, 'document_depth': 3.0, 'DeltaRratio': 1.0}",1.0,0.799,0.2958825
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,3.0,G5,Shared target reference strategy,Prefer references or controlled duplication when target entities are highly shared.,True,active,0.4958825,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,"{'max_observed_sharedness_score': 0.2958825, 'touches_association': True, 'shared_target_entities': ['Holding', 'ListedSecurity', 'Security']}",1.0,0.799,0.2958825
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,3.0,G6,Aggregation-oriented document,Use precomputed or read-optimized structures for aggregation and ranking queries.,False,inactive,0.0,Aggregation-oriented configuration is not central.,"{'query_family': 'Associative retrieval', 'generic_class': 'QG3', 'DeltaRratio': 1.0}",1.0,0.799,0.2958825
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,3.0,G7,Update-aware document strategy,Avoid excessive embedding when write/update volatility is relevant.,True,active,0.9990000000000001,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,"{'is_write_query': False, 'query_update_volatility_score': 0.799, 'query_update_volatility_level': 'high'}",1.0,0.799,0.2958825
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,3.0,G8,Hybrid embedded-reference strategy,Use embedding for covered relationships and references for remaining external relationships.,False,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,"{'Re': 0.0, 'DeltaR': 3.0, 'DeltaRratio': 1.0, 'n_remaining_edges': 0.0}",1.0,0.799,0.2958825
Q3_SecuritiesHeldInEachFinancialServiceAccount,QG3,Associative retrieval,select,FinancialServiceAccount,3.0,G9,Benchmark-required trade-off candidate,"Generate alternative configurations when read gain, update pressure, sharedness, or mapping risk create a design trade-off.",True,active,0.9189765,The query has a design trade-off that should be validated through benchmark alternatives.,"{'DeltaRratio': 1.0, 'query_update_volatility_score': 0.799, 'max_observed_sharedness_score': 0.2958825, 'activation_has_mapping_warning': True}",1.0,0.799,0.2958825
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,4.0,G0,Root-only document,Use a simple root document when the query does not require relationship traversal.,False,inactive,0.0,The query requires at least one conceptual relationship.,"{'Rc': 4.0, 'DeltaRratio': 1.0}",1.0,0.7984,0.2958825
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,4.0,G1,Root with direct descriptors,Embed or colocate descriptor attributes/entities directly attached to the selected root.,False,inactive,0.0,Descriptor-oriented embedding is not a main driver.,"{'touches_descriptor': False, 'document_depth': 4.0, 'DeltaRratio': 1.0}",1.0,0.7984,0.2958825
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,4.0,G2,Root with contained children,Embed containment children when the query benefits from nested document retrieval.,True,active,1.0,The query touches containment relationships suitable for nested document structures.,"{'touches_containment': True, 'document_depth': 4.0, 'DeltaRratio': 1.0}",1.0,0.7984,0.2958825
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,4.0,G3,Root with associated references,Represent associative relationships around the root using embedded summaries or references.,True,active,0.8,The query touches associative relationships that may require embedded summaries or references.,"{'touches_association': True, 'n_entities_touched': 5.0, 'remaining_external_edges': False}",1.0,0.7984,0.2958825
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,4.0,G4,Deep nested traversal document,Use multi-level nesting or path-oriented documents for deep traversal workloads.,True,active,1.0,The query has a deep traversal profile and benefits from a multi-level document structure.,"{'query_family': 'Deep traversal', 'max_depth_for_query': 4.0, 'document_depth': 4.0, 'DeltaRratio': 1.0}",1.0,0.7984,0.2958825
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,4.0,G5,Shared target reference strategy,Prefer references or controlled duplication when target entities are highly shared.,True,active,0.4958825,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,"{'max_observed_sharedness_score': 0.2958825, 'touches_association': True, 'shared_target_entities': ['FinancialServiceAccount', 'Holding', 'ListedSecurity']}",1.0,0.7984,0.2958825
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,4.0,G6,Aggregation-oriented document,Use precomputed or read-optimized structures for aggregation and ranking queries.,False,inactive,0.0,Aggregation-oriented configuration is not central.,"{'query_family': 'Deep traversal', 'generic_class': 'QG4', 'DeltaRratio': 1.0}",1.0,0.7984,0.2958825
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,4.0,G7,Update-aware document strategy,Avoid excessive embedding when write/update volatility is relevant.,True,active,0.9984,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,"{'is_write_query': False, 'query_update_volatility_score': 0.7984, 'query_update_volatility_level': 'high'}",1.0,0.7984,0.2958825
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,4.0,G8,Hybrid embedded-reference strategy,Use embedding for covered relationships and references for remaining external relationships.,False,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,"{'Re': 0.0, 'DeltaR': 4.0, 'DeltaRratio': 1.0, 'n_remaining_edges': 0.0}",1.0,0.7984,0.2958825
Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,QG4,Deep traversal,select,Person,4.0,G9,Benchmark-required trade-off candidate,"Generate alternative configurations when read gain, update pressure, sharedness, or mapping risk create a design trade-off.",True,active,0.9188565,The query has a design trade-off that should be validated through benchmark alternatives.,"{'DeltaRratio': 1.0, 'query_update_volatility_score': 0.7984, 'max_observed_sharedness_score': 0.2958825, 'activation_has_mapping_warning': True}",1.0,0.7984,0.2958825
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,3.0,G0,Root-only document,Use a simple root document when the query does not require relationship traversal.,False,inactive,0.0,The query requires at least one conceptual relationship.,"{'Rc': 4.0, 'DeltaRratio': 1.0}",1.0,0.0,0.29462099999999997
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,3.0,G1,Root with direct descriptors,Embed or colocate descriptor attributes/entities directly attached to the selected root.,False,inactive,0.0,Descriptor-oriented embedding is not a main driver.,"{'touches_descriptor': False, 'document_depth': 3.0, 'DeltaRratio': 1.0}",1.0,0.0,0.29462099999999997
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,3.0,G2,Root with contained children,Embed containment children when the query benefits from nested document retrieval.,True,active,1.0,The query touches containment relationships suitable for nested document structures.,"{'touches_containment': True, 'document_depth': 3.0, 'DeltaRratio': 1.0}",1.0,0.0,0.29462099999999997
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,3.0,G3,Root with associated references,Represent associative relationships around the root using embedded summaries or references.,False,inactive,0.0,Associative references are not central for this query.,"{'touches_association': False, 'n_entities_touched': 5.0, 'remaining_external_edges': False}",1.0,0.0,0.29462099999999997
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,3.0,G4,Deep nested traversal document,Use multi-level nesting or path-oriented documents for deep traversal workloads.,True,active,1.0,The query has a deep traversal profile and benefits from a multi-level document structure.,"{'query_family': 'Containment retrieval', 'max_depth_for_query': 3.0, 'document_depth': 3.0, 'DeltaRratio': 1.0}",1.0,0.0,0.29462099999999997
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,3.0,G5,Shared target reference strategy,Prefer references or controlled duplication when target entities are highly shared.,False,inactive,0.0,Observed sharedness is not a main design pressure.,"{'max_observed_sharedness_score': 0.29462099999999997, 'touches_association': False, 'shared_target_entities': ['Disclosure', 'FinancialReport', 'ReportElement', 'StatementElement']}",1.0,0.0,0.29462099999999997
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,3.0,G6,Aggregation-oriented document,Use precomputed or read-optimized structures for aggregation and ranking queries.,False,inactive,0.0,Aggregation-oriented configuration is not central.,"{'query_family': 'Containment retrieval', 'generic_class': 'QG5', 'DeltaRratio': 1.0}",1.0,0.0,0.29462099999999997
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,3.0,G7,Update-aware document strategy,Avoid excessive embedding when write/update volatility is relevant.,False,inactive,0.0,Update volatility is not relevant for this query.,"{'is_write_query': False, 'query_update_volatility_score': 0.0, 'query_update_volatility_level': 'none'}",1.0,0.0,0.29462099999999997
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,3.0,G8,Hybrid embedded-reference strategy,Use embedding for covered relationships and references for remaining external relationships.,False,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,"{'Re': 0.0, 'DeltaR': 4.0, 'DeltaRratio': 1.0, 'n_remaining_edges': 0.0}",1.0,0.0,0.29462099999999997
Q5_ReportsAndMetricDataOfCompany,QG5,Containment retrieval,select,Corporation,3.0,G9,Benchmark-required trade-off candidate,"Generate alternative configurations when read gain, update pressure, sharedness, or mapping risk create a design trade-off.",True,active,0.7589241999999999,The query has a design trade-off that should be validated through benchmark alternatives.,"{'DeltaRratio': 1.0, 'query_update_volatility_score': 0.0, 'max_observed_sharedness_score': 0.29462099999999997, 'activation_has_mapping_warning': True}",1.0,0.0,0.29462099999999997
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,2.0,G0,Root-only document,Use a simple root document when the query does not require relationship traversal.,False,inactive,0.0,The query requires at least one conceptual relationship.,"{'Rc': 3.0, 'DeltaRratio': 1.0}",1.0,0.36299999999999993,0.2974182444061962
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,2.0,G1,Root with direct descriptors,Embed or colocate descriptor attributes/entities directly attached to the selected root.,True,active,1.0,The query touches descriptor relationships that can be colocated near the selected root.,"{'touches_descriptor': True, 'document_depth': 2.0, 'DeltaRratio': 1.0}",1.0,0.36299999999999993,0.2974182444061962
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,2.0,G2,Root with contained children,Embed containment children when the query benefits from nested document retrieval.,False,inactive,0.0,Containment embedding is not a main driver.,"{'touches_containment': False, 'document_depth': 2.0, 'DeltaRratio': 1.0}",1.0,0.36299999999999993,0.2974182444061962
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,2.0,G3,Root with associated references,Represent associative relationships around the root using embedded summaries or references.,True,active,0.8,The query touches associative relationships that may require embedded summaries or references.,"{'touches_association': True, 'n_entities_touched': 4.0, 'remaining_external_edges': False}",1.0,0.36299999999999993,0.2974182444061962
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,2.0,G4,Deep nested traversal document,Use multi-level nesting or path-oriented documents for deep traversal workloads.,False,inactive,0.0,The query does not require a deep document structure.,"{'query_family': 'Filtered search / recommendation', 'max_depth_for_query': 2.0, 'document_depth': 2.0, 'DeltaRratio': 1.0}",1.0,0.36299999999999993,0.2974182444061962
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,2.0,G5,Shared target reference strategy,Prefer references or controlled duplication when target entities are highly shared.,True,active,0.4974182444061962,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,"{'max_observed_sharedness_score': 0.2974182444061962, 'touches_association': True, 'shared_target_entities': ['Country', 'Industry', 'ListedSecurity']}",1.0,0.36299999999999993,0.2974182444061962
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,2.0,G6,Aggregation-oriented document,Use precomputed or read-optimized structures for aggregation and ranking queries.,False,inactive,0.0,Aggregation-oriented configuration is not central.,"{'query_family': 'Filtered search / recommendation', 'generic_class': 'QG6', 'DeltaRratio': 1.0}",1.0,0.36299999999999993,0.2974182444061962
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,2.0,G7,Update-aware document strategy,Avoid excessive embedding when write/update volatility is relevant.,True,active,0.563,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,"{'is_write_query': False, 'query_update_volatility_score': 0.36299999999999993, 'query_update_volatility_level': 'medium'}",1.0,0.36299999999999993,0.2974182444061962
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,2.0,G8,Hybrid embedded-reference strategy,Use embedding for covered relationships and references for remaining external relationships.,False,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,"{'Re': 0.0, 'DeltaR': 3.0, 'DeltaRratio': 1.0, 'n_remaining_edges': 0.0}",1.0,0.36299999999999993,0.2974182444061962
Q6_TechUSListedSecuritiesWithHighLastTradedValue,QG6,Filtered search / recommendation,select,ListedSecurity,2.0,G9,Benchmark-required trade-off candidate,"Generate alternative configurations when read gain, update pressure, sharedness, or mapping risk create a design trade-off.",True,active,0.8320836488812392,The query has a design trade-off that should be validated through benchmark alternatives.,"{'DeltaRratio': 1.0, 'query_update_volatility_score': 0.36299999999999993, 'max_observed_sharedness_score': 0.2974182444061962, 'activation_has_mapping_warning': True}",1.0,0.36299999999999993,0.2974182444061962
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,4.0,G0,Root-only document,Use a simple root document when the query does not require relationship traversal.,False,inactive,0.0,The query requires at least one conceptual relationship.,"{'Rc': 6.0, 'DeltaRratio': 1.0}",1.0,0.7702857142857144,0.2958825
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,4.0,G1,Root with direct descriptors,Embed or colocate descriptor attributes/entities directly attached to the selected root.,False,inactive,0.0,Descriptor-oriented embedding is not a main driver.,"{'touches_descriptor': False, 'document_depth': 4.0, 'DeltaRratio': 1.0}",1.0,0.7702857142857144,0.2958825
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,4.0,G2,Root with contained children,Embed containment children when the query benefits from nested document retrieval.,True,active,1.0,The query touches containment relationships suitable for nested document structures.,"{'touches_containment': True, 'document_depth': 4.0, 'DeltaRratio': 1.0}",1.0,0.7702857142857144,0.2958825
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,4.0,G3,Root with associated references,Represent associative relationships around the root using embedded summaries or references.,True,active,0.8,The query touches associative relationships that may require embedded summaries or references.,"{'touches_association': True, 'n_entities_touched': 7.0, 'remaining_external_edges': False}",1.0,0.7702857142857144,0.2958825
