dataset,query_name,semantic_family,expected_experiment,query_plan_files_found,example_query_plan_files,main_physical_signal,status
fiben,Q1_CompanyProfileIBM,rooted lookup,FIBEN read-query explain-plan validation,2,analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv,selective company-root lookup; control can be competitive at small absolute latency,candidate_files_found
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,association / descriptor,FIBEN Q2 detailed query-plan validation,2,analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv,indexed corporation lookup plus descriptor/security dereferencing,candidate_files_found
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,associative / bridge,FIBEN read-query explain-plan validation,2,analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv,holding/security/account traversal,candidate_files_found
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,deep traversal,FIBEN read-query explain-plan validation,2,analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv,person-account-holding-security-company traversal,candidate_files_found
fiben,Q5_ReportsAndMetricDataOfCompany,analytical hierarchy,FIBEN read-query explain-plan validation,2,analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv,analytical report hierarchy traversal,candidate_files_found
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,filtered analytical,FIBEN read-query explain-plan validation,2,analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv,filtered listed-security and market-value access,candidate_files_found
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,aggregation / transaction,FIBEN read-query explain-plan validation,2,analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv,transaction aggregation over buy/sell activity,candidate_files_found
fiben,Q8_IBMTransactionsBelowAverageSellingPrice,aggregation / transaction,FIBEN read-query explain-plan validation,2,analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv,transaction filtering against aggregate selling-price threshold,candidate_files_found
fiben,Q9_PersonsWhoBoughtAndSoldSameStock,transaction overlap,FIBEN read-query explain-plan validation,2,analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv,transaction overlap between buy and sell paths,candidate_files_found
fiben,Q10_CreateAccountHoldingAndBuyTransaction,insert / update,FIBEN Q10 skipped for read-style query-plan or handled as write workload,2,analysis/generated/query_plan/fiben/fiben_query_plan_components_all.csv | analysis/generated/query_plan/fiben/fiben_query_plan_summary_all.csv,insert/update case; read-style executionStats may be skipped or reported separately,skipped_or_write_case
ldbc_snb,IC7_RecentLikers,mixed graph / associative edge,LDBC SNB physical query-plan IC7 representative case,10,analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_ic7_ablation_behavior.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_ic7_baseline_behavior.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_ic7_baseline_ablation_tables.tex | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_query_plan_component_results.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_query_plan_candidate_summary.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_query_plan_scale_summary.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_benchmark_query_plan_joined.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_hot_winners_with_query_plan.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_query_plan_coverage.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_query_plan_report.md,person-rooted access plus likes associative edge,candidate_files_found
ldbc_snb,Official IC/IS/INS aggregate,official workload aggregate,LDBC SNB physical query-plan aggregate,104,analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_query_plan_component_results.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_ic7_ablation_behavior.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_ic7_baseline_behavior.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_query_plan_candidate_summary.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_query_plan_scale_summary.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_benchmark_query_plan_joined.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_hot_winners_with_query_plan.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_ic7_baseline_ablation_tables.tex | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_query_plan_coverage.csv | analysis/generated/ldbc_snb_physical_query_plan/ldbc_snb_physical_query_plan_report.md | analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf025_sf050.csv | analysis/generated/query_plan/imdb/qg9_validation/query_plan_component_results_qg9_sf1.csv,"official workload query-plan evidence across IC, IS, and INS operations",candidate_files_found
