dataset,query_name,query_id,generic_class,selected_root,g_class,is_active,activation_status,activation_strength,activation_score,activation_reason,g_family,g_role,g_label,source_file
fiben,Q1_CompanyProfileIBM,,QG1,Corporation,G9,False,inactive,inactive,0.0,No strong benchmark-required trade-off was detected.,,,Benchmark-required trade-off candidate,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,,QG2,Corporation,G0,False,inactive,inactive,0.0,The query requires at least one conceptual relationship.,,,Root-only document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,,QG2,Corporation,G1,True,active,active,1.0,The query touches descriptor relationships that can be colocated near the selected root.,,,Root with direct descriptors,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,,QG2,Corporation,G2,False,inactive,inactive,0.0,Containment embedding is not a main driver.,,,Root with contained children,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,,QG2,Corporation,G3,True,active,active,0.8,The query touches associative relationships that may require embedded summaries or references.,,,Root with associated references,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,,QG2,Corporation,G4,False,inactive,inactive,0.0,The query does not require a deep document structure.,,,Deep nested traversal document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,,QG2,Corporation,G5,True,active,active,0.4974182444061962,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,,,Shared target reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,,QG2,Corporation,G6,False,inactive,inactive,0.0,Aggregation-oriented configuration is not central.,,,Aggregation-oriented document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,,QG2,Corporation,G7,True,active,active,0.563,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,,,Update-aware document strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,,QG2,Corporation,G8,False,inactive,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,,,Hybrid embedded-reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q2_CompanyWithIndustryCountryAndListedSecurities,,QG2,Corporation,G9,True,active,active,0.8320836488812392,The query has a design trade-off that should be validated through benchmark alternatives.,,,Benchmark-required trade-off candidate,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,,QG3,FinancialServiceAccount,G0,False,inactive,inactive,0.0,The query requires at least one conceptual relationship.,,,Root-only document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,,QG3,FinancialServiceAccount,G1,False,inactive,inactive,0.0,Descriptor-oriented embedding is not a main driver.,,,Root with direct descriptors,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,,QG3,FinancialServiceAccount,G2,True,active,active,1.0,The query touches containment relationships suitable for nested document structures.,,,Root with contained children,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,,QG3,FinancialServiceAccount,G3,True,active,active,0.8,The query touches associative relationships that may require embedded summaries or references.,,,Root with associated references,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,,QG3,FinancialServiceAccount,G4,True,active,active,1.0,The query has a deep traversal profile and benefits from a multi-level document structure.,,,Deep nested traversal document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,,QG3,FinancialServiceAccount,G5,True,active,active,0.4958825,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,,,Shared target reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,,QG3,FinancialServiceAccount,G6,False,inactive,inactive,0.0,Aggregation-oriented configuration is not central.,,,Aggregation-oriented document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,,QG3,FinancialServiceAccount,G7,True,active,active,0.999,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,,,Update-aware document strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,,QG3,FinancialServiceAccount,G8,False,inactive,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,,,Hybrid embedded-reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q3_SecuritiesHeldInEachFinancialServiceAccount,,QG3,FinancialServiceAccount,G9,True,active,active,0.9189765,The query has a design trade-off that should be validated through benchmark alternatives.,,,Benchmark-required trade-off candidate,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,,QG4,Person,G0,False,inactive,inactive,0.0,The query requires at least one conceptual relationship.,,,Root-only document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,,QG4,Person,G1,False,inactive,inactive,0.0,Descriptor-oriented embedding is not a main driver.,,,Root with direct descriptors,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,,QG4,Person,G2,True,active,active,1.0,The query touches containment relationships suitable for nested document structures.,,,Root with contained children,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,,QG4,Person,G3,True,active,active,0.8,The query touches associative relationships that may require embedded summaries or references.,,,Root with associated references,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,,QG4,Person,G4,True,active,active,1.0,The query has a deep traversal profile and benefits from a multi-level document structure.,,,Deep nested traversal document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,,QG4,Person,G5,True,active,active,0.4958825,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,,,Shared target reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,,QG4,Person,G6,False,inactive,inactive,0.0,Aggregation-oriented configuration is not central.,,,Aggregation-oriented document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,,QG4,Person,G7,True,active,active,0.9984,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,,,Update-aware document strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,,QG4,Person,G8,False,inactive,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,,,Hybrid embedded-reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,,QG4,Person,G9,True,active,active,0.9188565,The query has a design trade-off that should be validated through benchmark alternatives.,,,Benchmark-required trade-off candidate,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q5_ReportsAndMetricDataOfCompany,,QG5,Corporation,G0,False,inactive,inactive,0.0,The query requires at least one conceptual relationship.,,,Root-only document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q5_ReportsAndMetricDataOfCompany,,QG5,Corporation,G1,False,inactive,inactive,0.0,Descriptor-oriented embedding is not a main driver.,,,Root with direct descriptors,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q5_ReportsAndMetricDataOfCompany,,QG5,Corporation,G2,True,active,active,1.0,The query touches containment relationships suitable for nested document structures.,,,Root with contained children,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q5_ReportsAndMetricDataOfCompany,,QG5,Corporation,G3,False,inactive,inactive,0.0,Associative references are not central for this query.,,,Root with associated references,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q5_ReportsAndMetricDataOfCompany,,QG5,Corporation,G4,True,active,active,1.0,The query has a deep traversal profile and benefits from a multi-level document structure.,,,Deep nested traversal document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q5_ReportsAndMetricDataOfCompany,,QG5,Corporation,G5,False,inactive,inactive,0.0,Observed sharedness is not a main design pressure.,,,Shared target reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q5_ReportsAndMetricDataOfCompany,,QG5,Corporation,G6,False,inactive,inactive,0.0,Aggregation-oriented configuration is not central.,,,Aggregation-oriented document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q5_ReportsAndMetricDataOfCompany,,QG5,Corporation,G7,False,inactive,inactive,0.0,Update volatility is not relevant for this query.,,,Update-aware document strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q5_ReportsAndMetricDataOfCompany,,QG5,Corporation,G8,False,inactive,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,,,Hybrid embedded-reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q5_ReportsAndMetricDataOfCompany,,QG5,Corporation,G9,True,active,active,0.7589241999999999,The query has a design trade-off that should be validated through benchmark alternatives.,,,Benchmark-required trade-off candidate,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,,QG6,ListedSecurity,G0,False,inactive,inactive,0.0,The query requires at least one conceptual relationship.,,,Root-only document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,,QG6,ListedSecurity,G1,True,active,active,1.0,The query touches descriptor relationships that can be colocated near the selected root.,,,Root with direct descriptors,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,,QG6,ListedSecurity,G2,False,inactive,inactive,0.0,Containment embedding is not a main driver.,,,Root with contained children,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,,QG6,ListedSecurity,G3,True,active,active,0.8,The query touches associative relationships that may require embedded summaries or references.,,,Root with associated references,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,,QG6,ListedSecurity,G4,False,inactive,inactive,0.0,The query does not require a deep document structure.,,,Deep nested traversal document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,,QG6,ListedSecurity,G5,True,active,active,0.4974182444061962,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,,,Shared target reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,,QG6,ListedSecurity,G6,False,inactive,inactive,0.0,Aggregation-oriented configuration is not central.,,,Aggregation-oriented document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,,QG6,ListedSecurity,G7,True,active,active,0.563,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,,,Update-aware document strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,,QG6,ListedSecurity,G8,False,inactive,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,,,Hybrid embedded-reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q6_TechUSListedSecuritiesWithHighLastTradedValue,,QG6,ListedSecurity,G9,True,active,active,0.8320836488812392,The query has a design trade-off that should be validated through benchmark alternatives.,,,Benchmark-required trade-off candidate,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,,QG7,Person,G0,False,inactive,inactive,0.0,The query requires at least one conceptual relationship.,,,Root-only document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,,QG7,Person,G1,False,inactive,inactive,0.0,Descriptor-oriented embedding is not a main driver.,,,Root with direct descriptors,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,,QG7,Person,G2,True,active,active,1.0,The query touches containment relationships suitable for nested document structures.,,,Root with contained children,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,,QG7,Person,G3,True,active,active,0.8,The query touches associative relationships that may require embedded summaries or references.,,,Root with associated references,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,,QG7,Person,G4,True,active,active,1.0,The query has a deep traversal profile and benefits from a multi-level document structure.,,,Deep nested traversal document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,,QG7,Person,G5,True,active,active,0.4958825,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,,,Shared target reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,,QG7,Person,G6,True,active,active,1.0,The query has an aggregation/ranking profile and may benefit from read-optimized or precomputed document structures.,,,Aggregation-oriented document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,,QG7,Person,G7,True,active,active,0.9702857142857144,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,,,Update-aware document strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,,QG7,Person,G8,False,inactive,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,,,Hybrid embedded-reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q7_PersonsWhoBoughtMoreIBMThanSold,,QG7,Person,G9,True,active,active,0.9132336428571428,The query has a design trade-off that should be validated through benchmark alternatives.,,,Benchmark-required trade-off candidate,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q8_IBMTransactionsBelowAverageSellingPrice,,QG8,Transaction,G0,False,inactive,inactive,0.0,The query requires at least one conceptual relationship.,,,Root-only document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q8_IBMTransactionsBelowAverageSellingPrice,,QG8,Transaction,G1,False,inactive,inactive,0.0,Descriptor-oriented embedding is not a main driver.,,,Root with direct descriptors,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q8_IBMTransactionsBelowAverageSellingPrice,,QG8,Transaction,G2,False,inactive,inactive,0.0,Containment embedding is not a main driver.,,,Root with contained children,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q8_IBMTransactionsBelowAverageSellingPrice,,QG8,Transaction,G3,True,active,active,0.8,The query touches associative relationships that may require embedded summaries or references.,,,Root with associated references,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q8_IBMTransactionsBelowAverageSellingPrice,,QG8,Transaction,G4,False,inactive,inactive,0.0,The query does not require a deep document structure.,,,Deep nested traversal document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q8_IBMTransactionsBelowAverageSellingPrice,,QG8,Transaction,G5,True,active,active,0.4958825,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,,,Shared target reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q8_IBMTransactionsBelowAverageSellingPrice,,QG8,Transaction,G6,True,active,active,1.0,The query has an aggregation/ranking profile and may benefit from read-optimized or precomputed document structures.,,,Aggregation-oriented document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q8_IBMTransactionsBelowAverageSellingPrice,,QG8,Transaction,G7,True,active,active,0.849,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,,,Update-aware document strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q8_IBMTransactionsBelowAverageSellingPrice,,QG8,Transaction,G8,False,inactive,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,,,Hybrid embedded-reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q8_IBMTransactionsBelowAverageSellingPrice,,QG8,Transaction,G9,True,active,active,0.8889765,The query has a design trade-off that should be validated through benchmark alternatives.,,,Benchmark-required trade-off candidate,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q9_PersonsWhoBoughtAndSoldSameStock,,QG9,Person,G0,False,inactive,inactive,0.0,The query requires at least one conceptual relationship.,,,Root-only document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q9_PersonsWhoBoughtAndSoldSameStock,,QG9,Person,G1,False,inactive,inactive,0.0,Descriptor-oriented embedding is not a main driver.,,,Root with direct descriptors,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q9_PersonsWhoBoughtAndSoldSameStock,,QG9,Person,G2,True,active,active,1.0,The query touches containment relationships suitable for nested document structures.,,,Root with contained children,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q9_PersonsWhoBoughtAndSoldSameStock,,QG9,Person,G3,True,active,active,0.8,The query touches associative relationships that may require embedded summaries or references.,,,Root with associated references,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q9_PersonsWhoBoughtAndSoldSameStock,,QG9,Person,G4,True,active,active,1.0,The query has a deep traversal profile and benefits from a multi-level document structure.,,,Deep nested traversal document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q9_PersonsWhoBoughtAndSoldSameStock,,QG9,Person,G5,True,active,active,0.4958825,The query touches shared target entities; reference-oriented design or controlled duplication should be considered.,,,Shared target reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q9_PersonsWhoBoughtAndSoldSameStock,,QG9,Person,G6,False,inactive,inactive,0.0,Aggregation-oriented configuration is not central.,,,Aggregation-oriented document,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q9_PersonsWhoBoughtAndSoldSameStock,,QG9,Person,G7,True,active,active,1.0,The query touches update-volatile entities or is itself a write query; embedding decisions should consider update maintenance.,,,Update-aware document strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q9_PersonsWhoBoughtAndSoldSameStock,,QG9,Person,G8,False,inactive,inactive,0.0,The query does not require a hybrid because either there is no reduction or no remaining external edge.,,,Hybrid embedded-reference strategy,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
fiben,Q9_PersonsWhoBoughtAndSoldSameStock,,QG9,Person,G9,True,active,active,0.8255764999999999,The query has a design trade-off that should be validated through benchmark alternatives.,,,Benchmark-required trade-off candidate,analysis/fiben/ablation_variables/query_class_activation_long_fiben.csv
imdb,QG10_AdvancedSearchWatchItems,,QG10,WatchItem,G0,True,active,active,1.0,Baseline documental principal para a raiz selecionada.,,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG10_AdvancedSearchWatchItems,,QG10,WatchItem,G2,True,active,active,1.0,"A matriz indica descritor compartilhado próximo da raiz, com absorção total rasa e baixa volatilidade.",,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG10_AdvancedSearchWatchItems,,QG10,WatchItem,G3,True,active,active,1.0,"A matriz indica subtipo/componente estrutural próximo da raiz, com ganho raso e baixa volatilidade.",,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG1_WatchItemById,,QG1,WatchItem,G0,True,active,active,1.0,Baseline documental principal para a raiz selecionada.,,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG2_WatchItemByTitle,,QG2,WatchItem,G0,True,active,active,1.0,Baseline documental principal para a raiz selecionada.,,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG3_RecommendationByGenreAndSubtype,,QG3,WatchItem,G0,True,active,active,1.0,Baseline documental principal para a raiz selecionada.,,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG3_RecommendationByGenreAndSubtype,,QG3,WatchItem,G2,True,active,active,1.0,"A matriz indica descritor compartilhado próximo da raiz, com absorção total rasa e baixa volatilidade.",,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG3_RecommendationByGenreAndSubtype,,QG3,WatchItem,G3,True,active,active,1.0,"A matriz indica subtipo/componente estrutural próximo da raiz, com ganho raso e baixa volatilidade.",,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG4_AllPersonsOfTypeForWatchItem,,QG4,WatchItem,G0,True,active,active,1.0,Baseline documental principal para a raiz selecionada.,,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG4_AllPersonsOfTypeForWatchItem,,QG4,WatchItem,G4,True,active,active,1.0,A matriz indica região associativa relevante; a entidade associativa próxima da raiz é candidata a embutimento parcial.,,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG4_AllPersonsOfTypeForWatchItem,,QG4,WatchItem,G5,True,active,active,1.0,Há caminho associativo profundo com entidade final compartilhada; snapshot é candidato quando full embedding pode ser arriscado.,,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG4_AllPersonsOfTypeForWatchItem,,QG4,WatchItem,G6,True,active,active,1.0,Há caminho associativo profundo e baixa volatilidade suficiente para testar o limite superior da absorção.,,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG5_AllPersonsForEpisodesOfSeries,,QG5,WatchItem,G0,True,active,active,1.0,Baseline documental principal para a raiz selecionada.,,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG5_AllPersonsForEpisodesOfSeries,,QG5,WatchItem,G4,True,active,active,1.0,A matriz indica região associativa relevante; a entidade associativa próxima da raiz é candidata a embutimento parcial.,,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
imdb,QG5_AllPersonsForEpisodesOfSeries,,QG5,WatchItem,G5,True,active,active,1.0,Há caminho associativo profundo com entidade final compartilhada; snapshot é candidato quando full embedding pode ser arriscado.,,,,analysis/imdb/ablation_variables/query_class_activation_imdb.csv
